date,amount
8/30/2015,$317.58
8/30/2015,$268.25
8/31/2015,$46.07
9/5/2015,$200.00
10/10/2015,$450.00
9/5/2015,$215.80
9/5/2015,$6.80
8/31/2015,$2.97
10/19/2015,$22.88
8/31/2015,$23.00
8/31/2015,$95.00
8/31/2015,$10.23
8/31/2015,$0.74
8/31/2015,$23.78
8/31/2015,$12.35
9/1/2015,$2.29
9/1/2015,$5.58
9/1/2015,$10.23
9/1/2015,$6.20
9/1/2015,$4.50
9/1/2015,$14.11
9/1/2015,$1.09
9/1/2015,$4.96
9/2/2015,$20.15
9/3/2015,$15.50
9/3/2015,$2.17
9/3/2015,$9.58
9/3/2015,$354.00
9/3/2015,$3.10
9/3/2015,$250.85
9/3/2015,$19.67
9/3/2015,$11.67
9/3/2015,$2.17
9/3/2015,$9.30
9/3/2015,$1.24
9/3/2015,$6.20
9/4/2015,$2.48
9/4/2015,$9.30
9/4/2015,$5.58
9/4/2015,$0.93
9/4/2015,$12.40
9/4/2015,$3.10
9/4/2015,$2.17
9/4/2015,$1.55
9/4/2015,$15.50
9/5/2015,$6.20
9/5/2015,$1217.03
9/9/2015,$3.10
9/9/2015,$3.10
9/10/2015,$10.00
9/10/2015,$53.32
9/10/2015,$20.00
9/10/2015,$12.71
9/10/2015,$2.79
9/10/2015,$6.20
9/10/2015,$1.55
9/10/2015,$5.27
9/10/2015,$18.60
9/10/2015,$4.65
9/10/2015,$1.05
9/11/2015,$40.89
9/11/2015,$0.37
9/11/2015,$0.93
9/11/2015,$5.27
9/11/2015,$6.82
9/11/2015,$0.62
9/11/2015,$1.09
9/11/2015,$1.55
9/11/2015,$1.24
9/12/2015,$0.93
9/12/2015,$0.93
9/12/2015,$1.40
9/12/2015,$30.38
9/12/2015,$14.88
9/13/2015,$0.93
9/13/2015,$9.61
9/14/2015,$15.97
9/14/2015,$6.20
9/15/2015,$6.20
9/15/2015,$4.03
9/15/2015,$6.20
9/15/2015,$0.62
9/15/2015,$99.20
9/15/2015,$24.80
9/15/2015,$0.62
9/15/2015,$0.62
9/15/2015,$39.37
9/15/2015,$0.93
9/15/2015,$0.62
9/15/2015,$132.06
9/16/2015,$44.33
9/16/2015,$49.91
9/17/2015,$33.48
9/17/2015,$24.49
9/17/2015,$103.62
9/18/2015,$19.22
9/18/2015,$51.77
9/18/2015,$37.44
9/18/2015,$8.84
9/18/2015,$33.12
9/19/2015,$15.19
9/19/2015,$34.10
9/20/2015,$18.29
9/20/2015,$88.66
9/20/2015,$74.40
9/20/2015,$24.18
9/20/2015,$130.00
9/21/2015,$13.95
9/22/2015,$112.22
9/23/2015,$33.17
9/23/2015,$7.44
9/21/2015,$50.00
9/22/2015,$62.00
9/23/2015,$8.06
9/23/2015,$31.00
9/24/2015,$5.27
9/24/2015,$6.20
9/25/2015,$27.90
9/25/2015,$113.15
9/26/2015,$53.94
9/26/2015,$5.89
9/27/2015,$217.93
9/27/2015,$27.59
9/28/2015,$32.24
9/28/2015,$43.40
9/29/2015,$72.85
9/30/2015,$1.92
9/30/2015,$16.12
9/30/2015,$10.85
10/1/2015,$46.50
10/1/2015,$13.64
10/1/2015,$21.40
10/2/2015,$82.15
10/2/2015,$32.24
10/2/2015,$5.43
10/2/2015,$87.58
10/3/2015,$29.76
10/3/2015,$15.81
10/4/2015,$39.68
10/4/2015,$0.62
10/4/2015,$4.65
10/5/2015,$23.99
10/5/2015,$28.95
10/6/2015,$42.16
10/6/2015,$10.85
10/7/2015,$3.10
10/7/2015,$211.72
10/7/2015,$11.32
10/8/2015,$38.44
10/8/2015,$1.55
10/9/2015,$396.77
10/9/2015,$27.59
10/9/2015,$251.10
10/10/2015,$0.01
10/10/2015,$0.01
10/11/2015,$0.01
10/11/2015,$0.01
10/12/2015,$0.01
10/12/2015,$0.01
10/13/2015,$0.01
10/13/2015,$0.01
10/14/2015,$27.47
10/14/2015,$32.98
10/15/2015,$34.10
10/15/2015,$21.70
10/15/2015,$19.22
10/15/2015,$4.34
10/15/2015,$4.34
10/16/2015,$141.66
10/16/2015,$26.35
10/17/2015,$17.83
10/17/2015,$13.49
10/18/2015,$38.32
10/18/2015,$24.65
10/18/2015,$3.72
10/19/2015,$192.85
10/19/2015,$160.00
10/20/2015,$51.38
10/20/2015,$5.21
10/20/2015,$7.96
10/21/2015,$29.23
10/22/2015,$37.19
10/23/2015,$150.44
10/23/2015,$11.58
10/24/2015,$19.68
10/24/2015,$1.88
10/24/2015,$5.64
10/25/2015,$109.41
10/25/2015,$2.17
10/25/2015,$0.87
10/26/2015,$24.59
10/26/2015,$3.02
10/26/2015,$20.85
10/26/2015,$5.79
10/27/2015,$15.63
10/27/2015,$13.03
10/27/2015,$11.00
10/28/2015,$7.51
10/28/2015,$9.12
10/28/2015,$5.35
10/28/2015,$4.49
10/29/2015,$27.86
10/29/2015,$3.76
10/29/2015,$5.21
10/29/2015,$1.74
10/30/2015,$57.02
10/30/2015,$33.79
10/30/2015,$64.84
10/30/2015,$70.99
10/31/2015,$39.37
10/31/2015,$18.81
10/31/2015,$6.51
11/1/2015,$12.29
11/1/2015,$23.08
11/1/2015,$4.34
11/1/2015,$6.66
11/2/2015,$90.45
11/2/2015,$2.17
11/2/2015,$3.91
11/2/2015,$2.46
11/3/2015,$50.00
11/3/2015,$0.36
11/3/2015,$4.34
11/3/2015,$3.04
11/4/2015,$3.33
11/4/2015,$34.59
11/5/2015,$36.37
11/5/2015,$6.69
11/5/2015,$6.69
11/5/2015,$5.79
11/6/2015,$35.75
11/6/2015,$0.29
11/6/2015,$3.76
11/6/2015,$18.52
11/7/2015,$72.51
11/7/2015,$2.68
11/7/2015,$2.17
11/8/2015,$13.17
11/8/2015,$50.44
11/9/2015,$5.64
11/9/2015,$23.81
11/9/2015,$6.95
11/9/2015,$7.09
11/10/2015,$6.08
11/10/2015,$6.37
11/10/2015,$20.55
11/10/2015,$4.34
11/11/2015,$89.58
11/11/2015,$7.67
11/11/2015,$13.75
11/11/2015,$14.22
11/12/2015,$1.88
11/12/2015,$10.56
11/12/2015,$15.34
11/12/2015,$8.97
11/13/2015,$10.00
11/13/2015,$5.07
11/14/2015,$23.30
11/14/2015,$2.53
11/14/2015,$13.03
11/14/2015,$3.62
11/15/2015,$65.69
11/15/2015,$1.16
11/15/2015,$4.12
11/15/2015,$0.36
11/16/2015,$9.70
11/16/2015,$6.30
11/16/2015,$3.18
11/17/2015,$402.12
11/17/2015,$0.80
11/17/2015,$1.45
11/18/2015,$3.76
11/18/2015,$4.56
11/18/2015,$2.17
11/18/2015,$4.78
11/19/2015,$7.67
11/19/2015,$2.46
11/19/2015,$5.35
11/20/2015,$6.15
11/20/2015,$48.19
11/20/2015,$5.07
11/20/2015,$15.92
11/21/2015,$6.44
11/21/2015,$7.24
11/21/2015,$18.81
11/21/2015,$1.16
11/22/2015,$5.50
11/22/2015,$2.75
11/22/2015,$7.38
11/22/2015,$1.16
11/23/2015,$109.70
11/23/2015,$26.30
11/23/2015,$7.24
11/23/2015,$4.34
11/24/2015,$13.07
11/24/2015,$3.33
11/24/2015,$0.29
11/25/2015,$11.83
11/25/2015,$5.93
11/25/2015,$3.47
11/25/2015,$1.30
11/26/2015,$7.67
11/26/2015,$21.64
11/26/2015,$2.03
11/26/2015,$3.47
11/27/2015,$17.29
11/27/2015,$45.52
11/27/2015,$0.87
11/27/2015,$10.28
11/28/2015,$24.75
11/28/2015,$2.17
11/28/2015,$0.87
11/29/2015,$201.60
11/29/2015,$24.75
11/30/2015,$13.89
